,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
345,Mega Rave Sem Chão,Mega Rave Sem Chão,Dj GBR,2020-10-15,184888,52,0.311,0.822,0.731,7.81e-06,0.0996,-3.764,0.158,135.047,4
346,Remember That Night?,Remember That Night?,Sara Kays,2020-11-06,227186,76,0.585,0.679,0.61,9.51e-05,0.156,-10.936,0.0305,123.978,4
347,You (with Marshmello & Vance Joy),You (with Marshmello & Vance Joy),benny blanco,2021-01-29,169632,69,0.0493,0.668,0.563,0.0,0.119,-6.433,0.0522,103.116,4
348,Heat Waves,Dreamland,Glass Animals,2020-08-07,238805,86,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4
349,Never Not,I met you when I was 18. (the playlist),Lauv,2018-05-31,208000,72,0.693,0.47,0.221,0.0,0.104,-9.243,0.0371,133.714,4
350,Pipa Voada (feat. Emicida),Tão Real,Rashid,2020-01-22,185333,62,0.489,0.758,0.732,0.0,0.13,-5.511,0.051,90.038,4
351,"Dó, Ré, Mi, Fá","Dó, Ré, Mi, Fá",Dj Henrique de Ferraz,2020-12-18,203076,44,0.356,0.965,0.736,0.0,0.149,-0.666,0.2,129.961,4
352,Sagitário,Zodíaco,Xamã,2020-12-14,172000,0,0.666,0.504,0.633,0.0,0.284,-6.823,0.359,75.073,5
353,Rave Devagarinho,Rave Devagarinho,DJ TOPO,2021-01-22,236801,45,0.0197,0.747,0.856,0.000669,0.499,-3.991,0.0936,129.919,4
354,Clouds (with Sabrina Carpenter),Clouds (with Sabrina Carpenter),Fin Argus,2020-10-09,184903,52,0.57,0.589,0.634,0.000844,0.154,-7.653,0.0276,94.998,4
355,Heather,Kid Krow,Conan Gray,2020-03-20,198040,85,0.584,0.357,0.425,0.0,0.322,-7.301,0.0333,102.078,3
356,Lie Lie Lie,Lie Lie Lie,Joshua Bassett,2021-01-14,176691,62,0.00503,0.617,0.835,0.0,0.0793,-3.573,0.0923,101.005,4
357,Somebody To You,Meet The Vamps,The Vamps,2014-01-01,185097,76,0.0587,0.526,0.818,0.0,0.333,-5.952,0.0358,171.96,4
358,Infinity,Feel Something,Jaymes Young,2017-06-23,237720,90,0.148,0.671,0.673,5.29e-05,0.304,-6.941,0.0444,121.963,4
359,Maniac,Kid Krow,Conan Gray,2020-03-20,185773,81,0.00162,0.628,0.639,0.0,0.354,-5.46,0.0435,108.045,4
360,"All I Want - From ""High School Musical: The Musical: The Series""","All I Want (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,2019-11-27,177322,75,0.0902,0.376,0.43,0.0,0.0912,-6.585,0.0328,77.599,3
361,Baby,Baby,Madison Beer,2020-08-21,207734,59,0.0799,0.705,0.707,0.0,0.149,-5.174,0.0534,117.974,4
362,Sexta Meu Celular Fica Sem Sinal,Sexta Meu Celular Fica Sem Sinal,Dj Guuga,2020-10-23,167999,51,0.716,0.902,0.848,0.0,0.386,-4.139,0.173,129.992,4
363,Ô Moça,Ô Moça,MC Zaquin,2020-12-21,180923,66,0.481,0.84,0.495,0.0,0.0853,-5.155,0.0797,130.041,4
364,I'm Legit,Pink Friday: Roman Reloaded The Re-Up (Explicit Version),Nicki Minaj,2012-01-01,198053,57,0.0301,0.859,0.746,0.000877,0.169,-3.014,0.0663,75.002,4
365,Viciou na Flauta - Remix,Viciou na Flauta (Remix),MC Mari,2020-12-28,142588,42,0.281,0.748,0.703,0.00721,0.106,-5.321,0.0635,170.026,4
366,Impossible,James Arthur (Deluxe),James Arthur,2013-11-04,209440,75,0.135,0.376,0.695,0.0,0.11,-4.782,0.0933,169.533,4
367,I Was Made For Loving You,Unbreakable Smile,Tori Kelly,2015-10-16,188939,64,0.355,0.374,0.344,0.0,0.0966,-11.94,0.0304,106.415,5
368,Lucky,We Sing. We Dance. We Steal Things.,Jason Mraz,2008-05-01,189613,67,0.294,0.625,0.414,0.0,0.151,-8.7,0.0369,130.088,4
369,When You Love Someone,Chapters,James TW,2019-04-26,216560,74,0.263,0.681,0.453,0.0,0.0543,-6.09,0.0278,125.772,4
370,Home,Home,Gabrielle Aplin,2012-01-09,247001,61,0.745,0.425,0.273,0.0,0.093,-10.712,0.0355,137.994,4
371,my ex's best friend (with blackbear),my ex's best friend (with blackbear),Machine Gun Kelly,2020-08-07,138970,1,0.00391,0.728,0.685,0.0,0.152,-5.096,0.0433,124.934,4
372,drivers license,drivers license,Olivia Rodrigo,2021-01-08,242013,30,0.721,0.585,0.436,1.31e-05,0.105,-8.761,0.0601,143.874,4
373,Whoopty,Whoopty,CJ,2020-08-20,123262,76,0.2,0.719,0.648,0.0,0.127,-7.6,0.125,140.201,4
374,Ela Terminou Comigo (Rave Remix),Ela Terminou Comigo (Rave Remix),Dj W-Beatz,2020-08-21,158645,35,0.393,0.914,0.84,7.9e-06,0.107,-6.403,0.12,132.03,4
375,I'm not Pretty,I'm not Pretty,JESSIA,2021-01-08,118400,0,0.0929,0.694,0.538,0.0,0.0665,-6.443,0.277,74.81,4
376,Mega Rave Gasolina,Mega Rave Gasolina,DJ Shalom,2020-06-29,184696,22,0.0088,0.716,0.862,0.000248,0.138,-9.085,0.0979,129.958,4
377,WOW,WOW,Zara Larsson,2019-04-17,179675,60,0.492,0.748,0.79,0.0,0.0901,-4.788,0.169,77.495,4
378,Like It Is,Like It Is,Kygo,2020-03-27,183067,62,0.121,0.794,0.728,8.82e-06,0.227,-6.759,0.114,105.024,4
379,GIRL LIKE ME,TRANSLATION,Black Eyed Peas,2020-11-02,222522,77,0.0206,0.965,0.485,0.0237,0.0655,-8.784,0.191,124.025,4
380,Hawái - Remix,Hawái (Remix),Maluma,2020-11-05,200481,72,0.105,0.766,0.788,5.81e-06,0.142,-3.128,0.312,179.984,4
381,Liberdade (Quando o Grave Bate Forte),Liberdade (Quando o Grave Bate Forte),Alok,2020-12-18,150461,69,0.0254,0.81,0.789,1.85e-06,0.104,-4.032,0.0498,129.988,4
382,eu me amo mais,solta,GIULIA BE,2020-05-15,133080,60,0.628,0.572,0.51,0.0,0.0803,-8.285,0.0836,171.813,4
383,Candy Shop X Element - Remix,Candy Shop X Element (Remix),Eduardo Luzquiños,2020-12-19,109186,0,0.00612,0.784,0.657,0.0,0.356,-8.866,0.329,97.858,4
384,MODO TURBO,MODO TURBO,Luísa Sonza,2020-12-21,150259,63,0.334,0.655,0.726,3.13e-06,0.232,-7.628,0.0796,160.064,4
385,Love Looks Better,Love Looks Better,Alicia Keys,2020-09-10,203320,0,0.0211,0.562,0.683,0.0,0.176,-6.179,0.0328,97.061,4
386,Afterglow,Afterglow,Ed Sheeran,2020-12-21,185486,77,0.698,0.641,0.324,0.0,0.328,-5.851,0.0299,110.184,4
387,Tapão Nervoso,Tapão Nervoso,Jheo Chavoso,2020-09-01,151797,44,0.0824,0.763,0.879,7.16e-05,0.213,-3.654,0.109,164.962,4
388,Mds,Mds,Kawe,2020-05-19,125142,65,0.259,0.886,0.562,0.0,0.121,-5.304,0.259,140.02,4
389,RAVE IN THE DARK,RAVE IN THE DARK,Megabaile Do Areias,2020-10-15,245373,38,0.17,0.714,0.818,1.03e-06,0.33,-3.474,0.113,134.02,4
390,Rave Amor Ou O Litrão,Rave Amor Ou O Litrão,DJ TOPO,2020-12-18,199130,34,0.0741,0.768,0.883,0.00274,0.101,-3.891,0.146,138.006,4
391,Rave Glad You Came,Rave Glad You Came,DJ Mikinev,2020-09-18,148656,33,0.206,0.737,0.939,2.86e-05,0.102,-2.984,0.0681,134.02,4
392,Just You and I,What a Time To Be Alive,Tom Walker,2019-03-01,174982,67,0.456,0.567,0.696,0.0,0.113,-5.416,0.301,92.061,4
393,Often,Beauty Behind The Madness,The Weeknd,2015-08-28,249040,78,0.222,0.572,0.631,0.0,0.135,-9.836,0.0476,134.078,4
394,CHEGUEI,GRIFF,WC no Beat,2020-08-20,175957,39,0.35,0.861,0.883,0.000699,0.0696,-4.423,0.14,142.974,4
395,Alô,Alô,Ceci Reis,2020-12-10,162272,16,0.234,0.686,0.529,4e-06,0.556,-6.914,0.0942,87.969,4
396,Stuck Into This,Stuck Into This,Giana,2020-12-08,214096,36,0.246,0.511,0.477,0.00112,0.102,-10.067,0.167,129.548,4
397,Deve ser horrível dormir sem mim,Deve ser horrível dormir sem mim,Manu Gavassi,2020-08-21,155052,62,0.0134,0.698,0.722,1.03e-05,0.115,-6.571,0.146,126.739,5
398,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,2020-05-08,156960,63,0.0247,0.798,0.828,2.55e-06,0.121,-5.36,0.193,124.962,4
399,Levitating (feat. DaBaby),Levitating (feat. DaBaby),Dua Lipa,2020-10-01,203064,79,0.00883,0.702,0.825,0.0,0.0674,-3.787,0.0601,102.977,4
400,Adderall (Corvette Corvette),Adderall (Corvette Corvette),Popp Hunna,2020-10-15,136224,61,0.272,0.913,0.391,0.0,0.0666,-11.158,0.368,141.05,4
401,All We Got (feat. KIDDO),All We Got (feat. KIDDO),Robin Schulz,2020-10-16,190218,67,0.286,0.504,0.76,0.0,0.151,-4.246,0.0426,183.933,4
402,Wonder,Wonder,Shawn Mendes,2020-10-02,172692,72,0.131,0.333,0.637,1.8e-05,0.149,-4.904,0.0581,139.898,4
403,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,190476,81,0.114,0.823,0.586,0.0,0.193,-6.606,0.2,125.971,4
404,DÁKITI,DÁKITI,Bad Bunny,2020-10-30,205090,82,0.401,0.731,0.573,5.22e-05,0.113,-10.059,0.0544,109.928,4
405,Goosebumps,Goosebumps,HVME,2020-06-12,163208,76,0.325,0.767,0.659,0.0,0.13,-7.429,0.0444,124.946,4
406,willow,evermore,Taylor Swift,2020-12-11,214706,77,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,4
407,WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI,2020-11-06,161384,80,0.213,0.662,0.413,0.0,0.134,-7.357,0.0299,93.005,4
408,positions,positions,Ariana Grande,2020-10-23,172324,11,0.468,0.736,0.802,0.0,0.094,-4.759,0.0864,144.005,4
409,Therefore I Am,Therefore I Am,Billie Eilish,2020-11-12,174321,76,0.218,0.889,0.34,0.13,0.055,-7.773,0.0697,94.009,4
410,Rave Banjo Beat,Rave Banjo Beat,DJ TOPO,2020-10-16,184615,37,0.39,0.836,0.801,6.63e-05,0.0643,-4.355,0.291,129.957,4
411,Senta no Fazendeiro,Senta no Fazendeiro,Mc Jacaré,2019-07-01,146233,47,0.569,0.727,0.601,0.0,0.0566,-5.037,0.052,130.057,4
412,O Golpe tá aí Cai Quem Quer,O Golpe tá aí Cai Quem Quer,Dj Guuga,2020-11-12,188666,46,0.23,0.794,0.883,0.0,0.333,-1.496,0.387,90.04,4
413,O Pai Tá On,O Pai Tá On,DDNAVOZ,2020-08-14,102353,12,0.563,0.921,0.72,0.0,0.0672,-5.121,0.149,129.98,4
414,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,89,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,95.39,4
415,The Business,The Business,Tiësto,2020-09-16,164000,83,0.414,0.798,0.62,0.0192,0.112,-7.079,0.232,120.031,4
416,Prisoner (feat. Dua Lipa),Prisoner (feat. Dua Lipa),Miley Cyrus,2020-11-20,169333,66,0.0103,0.781,0.67,0.0,0.0761,-3.912,0.0452,127.99,4
417,Mood (feat. iann dior),Mood (feat. iann dior),24kGoldn,2020-07-24,140525,13,0.221,0.7,0.722,0.0,0.272,-3.558,0.0369,90.989,4
418,Lemonade,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2020-08-14,195428,77,0.256,0.799,0.66,0.0,0.111,-6.153,0.079,140.04,4
419,Oh My God,Oh My God,Edy Lemond,2020-10-13,199440,50,0.296,0.74,0.884,0.0,0.091,-2.683,0.242,130.035,4
420,Paradise (feat. Dermot Kennedy),Paradise,MEDUZA,2020-10-30,167903,80,0.0689,0.632,0.595,0.0,0.209,-7.644,0.0401,124.114,4
421,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,2020-10-16,149297,75,0.864,0.631,0.239,0.0,0.116,-7.071,0.0398,79.859,4
422,34+35,Positions,Ariana Grande,2020-10-30,173710,81,0.237,0.83,0.585,0.0,0.248,-6.476,0.094,109.978,4
423,What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,160000,81,0.65,0.709,0.548,1.59e-06,0.133,-8.493,0.353,83.995,4
424,Put Your Records On,Put Your Records On,Ritt Momney,2020-04-24,210463,77,0.0563,0.399,0.491,0.00089,0.11,-10.778,0.0538,91.066,4
425,Monster (Shawn Mendes & Justin Bieber),Monster,Shawn Mendes,2020-11-20,178994,74,0.0676,0.652,0.383,0.0,0.0828,-7.076,0.0516,145.765,4
426,WHATS POPPIN,Sweet Action,Jack Harlow,2020-03-13,139741,79,0.017,0.923,0.604,0.0,0.272,-6.671,0.245,145.062,4
427,iSpy (feat. Lil Yachty),Light of Mine,KYLE,2018-05-18,252240,66,0.384,0.723,0.654,0.0,0.384,-6.82,0.298,149.949,4
428,These Days,This Isn't The Album,mike.,2015-10-30,268565,73,0.533,0.815,0.364,3.52e-05,0.108,-11.158,0.375,129.937,4
429,Come Get Her,SremmLife,Rae Sremmurd,2015-01-06,212946,75,0.187,0.689,0.564,0.0,0.0721,-6.226,0.136,185.023,4
430,Reckless,Subluxe,Healy,2017,237157,62,0.526,0.849,0.362,1.63e-05,0.233,-8.585,0.41,81.143,4
431,After Party,Heaven Or Hell,Don Toliver,2020-03-13,167915,78,0.00981,0.629,0.692,0.331,0.603,-8.045,0.0376,162.948,4
432,This Could Be Us,SremmLife,Rae Sremmurd,2015-01-06,206306,79,0.291,0.732,0.69,0.0,0.116,-4.992,0.134,143.072,4
433,"Lemonade (feat. Gunna, Don Toliver & NAV)",B4 The Storm,Internet Money,2020-08-28,195428,77,0.25,0.8,0.658,0.0,0.111,-6.142,0.079,140.042,4
434,Ain't Nobody Takin My Baby,Ain't Nobody Takin My Baby,Russ,2016-12-23,189231,66,0.673,0.696,0.57,3.02e-06,0.098,-9.084,0.557,76.976,4
435,Chanel,Chanel,Frank Ocean,2017-03-10,210285,79,0.874,0.776,0.503,0.0,0.112,-5.732,0.237,110.134,4
436,FML,Living Facts,Arizona Zervas,2018-06-03,223000,70,0.113,0.822,0.575,0.0,0.106,-5.95,0.0934,100.087,4
437,Me You,There's Really A Wolf,Russ,2017-05-05,164200,61,0.00196,0.702,0.762,0.000451,0.142,-2.733,0.0328,95.019,4
438,High Fashion (feat. Mustard),Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,220486,74,0.269,0.831,0.499,0.0,0.3,-8.442,0.114,97.956,4
439,Swish,These Days,mike.,2016-01-12,278520,57,0.067,0.905,0.575,2.22e-05,0.0602,-8.64,0.0881,115.031,4
440,Desperado,ANTI (Deluxe),Rihanna,2016-01-28,186466,73,0.323,0.685,0.61,0.0,0.102,-5.221,0.0439,94.384,3
441,Feeling Good,It's Time,Michael Bublé,2005-02-08,237333,72,0.533,0.535,0.548,1.48e-06,0.123,-6.51,0.037,115.144,3
442,Se Acabó la Cuarentena,Viva el Perreo,Jowell & Randy,2020-08-06,166971,63,0.00127,0.886,0.605,0.0167,0.0767,-4.311,0.109,122.052,4
443,MEGA DA CAVALGADA VS YOU WANT,MEGA DA CAVALGADA VS YOU WANT,DJ ZL,2020-05-25,134545,50,0.0681,0.845,0.694,0.0,0.126,-4.552,0.161,131.986,4
444,Feel It,Dark Room,Michele Morrone,2020-02-14,159480,36,0.142,0.652,0.369,0.00322,0.128,-9.301,0.045,155.016,3
445,HOLIDAY,HOLIDAY,Lil Nas X,2020-11-13,154997,75,0.12,0.81,0.511,0.0,0.0832,-6.924,0.164,151.947,4
446,Meu Lado da História,Meu Lado da História,Nandx710,2019-03-27,151896,53,0.778,0.678,0.141,0.0,0.0787,-16.789,0.237,113.69,4
447,É Só Botada,É Só Botada,MC Levin,2020-08-26,145846,54,0.0466,0.953,0.544,0.0179,0.0395,-5.411,0.0843,129.988,4
448,Blow Your Mind (Mwah),Blow Your Mind (Mwah),Dua Lipa,2016-08-26,178583,67,0.0188,0.654,0.796,0.0,0.0948,-4.761,0.122,108.854,4
449,What They Want,There's Really A Wolf,Russ,2017-05-05,165853,73,0.484,0.71,0.404,0.0,0.0953,-10.04,0.379,139.553,4
450,Someone To You,Someone To You,BANNERS,2020-05-14,219813,60,0.00554,0.518,0.936,0.0,0.258,-3.685,0.0447,75.002,4
451,Promiscuous,Loose,Nelly Furtado,2006-01-01,242293,82,0.0569,0.808,0.97,6.13e-05,0.154,-6.098,0.0506,114.328,4
452,Oh No,Cold As Ice,Kreepa,2019-12-13,166504,57,0.00279,0.541,0.527,0.000509,0.286,-7.438,0.147,176.123,4
453,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,90,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4
454,Daisy,Daisy,Ashnikko,2020-07-09,146523,71,0.235,0.834,0.663,0.0,0.372,-6.143,0.133,121.876,4
455,Rave Dos Scotts,Rave Dos Scotts,DJ Ari SL,2020-05-27,177019,0,0.0346,0.711,0.277,1.6e-05,0.101,-11.542,0.603,129.678,4
456,Love Me Like You Do,Fifty Shades Freed (Original Motion Picture Soundtrack),Various Artists,2018-02-09,253520,75,0.27,0.489,0.597,0.0,0.105,-6.633,0.0292,95.012,4
457,Thunder,Evolve,Imagine Dragons,2017-06-23,187146,83,0.00671,0.605,0.822,0.134,0.147,-4.833,0.0438,167.997,4
458,Beat do Lerere,TrapFunkRave,Piccolo,2020-06-26,250829,0,0.627,0.91,0.659,2.44e-06,0.326,-7.378,0.354,130.027,4
459,Luz do luar (feat. MC Ju Bronx e MC Vagninho),Gets Involved,MC Fioti,2020-04-17,218181,54,0.703,0.92,0.457,8.03e-06,0.0444,-3.327,0.43,132.023,4
460,How to Be a Heartbreaker,How to Be a Heartbreaker,MARINA,2012-09-26,221493,50,0.0142,0.69,0.897,0.0,0.108,-4.696,0.0506,140.05,4
461,Laffy Taffy,Down for Life,D4L,2005-11-08,224253,63,0.0351,0.891,0.439,0.0,0.0932,-7.994,0.428,77.499,4
462,Beat do Drake,TrapFunkRave,Piccolo,2020-06-26,152475,0,0.099,0.562,0.541,0.0,0.38,-7.842,0.368,90.131,5
463,BPM 170,Bpm 170,MC Kevin o Chris,2020-03-17,203520,39,0.605,0.71,0.504,0.00321,0.088,-5.212,0.292,84.318,4
464,Mariposa,Mariposa,Peach Tree Rascals,2019-08-28,210000,74,0.617,0.676,0.525,0.0,0.356,-5.88,0.028,112.011,4
465,Classic,Classic,MKTO,2013-06-20,175333,5,0.0353,0.713,0.781,0.0,0.155,-4.859,0.121,102.078,4
466,Love Story,Fearless (Big Machine Radio Release Special),Taylor Swift,2008-11-11,236266,74,0.131,0.617,0.741,0.0,0.0772,-3.97,0.0311,118.984,4
467,Me Usa,Me Usa,Deb Lima,2020-02-13,119954,39,0.364,0.634,0.807,2.4e-06,0.0824,-4.968,0.0635,179.883,4
468,Nobody's Love,Nobody's Love,Maroon 5,2020-07-24,211253,18,0.31,0.486,0.567,0.0,0.0949,-6.456,0.0379,93.68,4
469,Smile,Smile,Katy Perry,2020-07-10,166898,63,0.0238,0.783,0.912,0.0,0.339,-3.713,0.243,98.025,4
470,How You Like That,How You Like That,BLACKPINK,2020-06-26,181263,1,0.0694,0.828,0.782,3.41e-05,0.0544,-4.014,0.0918,130.013,4
471,Don't Cry For Me (with Jason Derulo),Don't Cry For Me (with Jason Derulo),Alok,2020-07-10,155769,60,0.105,0.69,0.587,0.0,0.102,-6.53,0.0466,104.046,4
472,Comprei um Lança,Comprei um Lança,Mc Jacaré,2020-04-07,112345,55,0.238,0.652,0.723,0.000349,0.0719,-7.576,0.112,130.759,3
473,UN DIA (ONE DAY) (Feat. Tainy),UN DIA (ONE DAY) (Feat. Tainy),J Balvin,2020-07-24,232253,76,0.00536,0.571,0.693,0.0,0.173,-8.234,0.0545,168.169,4
474,Oh Juliana,Oh Juliana,Niack,2020-06-30,153077,59,0.387,0.799,0.568,0.0,0.0892,-3.089,0.25,129.63,4
475,TKN (feat. Travis Scott),TKN (feat. Travis Scott),ROSALÍA,2020-05-28,129370,72,0.192,0.776,0.509,1.49e-06,0.115,-6.266,0.467,94.634,4
476,Come & Go (with Marshmello),Legends Never Die,Juice WRLD,2020-07-10,205484,0,0.0172,0.625,0.814,0.0,0.158,-5.181,0.0657,144.991,4
477,Be Like That - feat. Swae Lee & Khalid,Be Like That (feat. Swae Lee & Khalid),Kane Brown,2020-07-10,191406,76,0.0469,0.727,0.626,2.58e-05,0.126,-8.415,0.0726,86.97,4
478,Life's A Mess (feat. Halsey),Life's A Mess (feat. Halsey),Juice WRLD,2020-07-06,202205,0,0.335,0.636,0.448,0.0,0.17,-8.969,0.0359,143.124,4
479,Naked - Club Mix,Naked (Club Mix),Jonas Blue,2020-07-10,241935,32,0.014,0.811,0.711,2.78e-05,0.0444,-5.005,0.0525,124.0,4
480,Circles,Circles,Of Monsters and Men,2020-07-10,223173,52,0.199,0.631,0.548,0.0,0.0796,-7.289,0.0303,115.023,4
481,The Other Side,The Other Side,Mike Vallas,2020-05-15,169986,36,0.115,0.788,0.672,0.00016,0.172,-6.44,0.0422,126.026,4
482,Desce Pro Play (PA PA PA),Desce Pro Play (PA PA PA),ZAAC,2020-06-26,168507,63,0.0769,0.935,0.71,1.92e-06,0.173,-5.085,0.158,100.009,4
483,ANGELS & DEMONS,ANGELS & DEMONS,jxdn,2020-05-19,160119,2,0.119,0.554,0.8,0.0,0.629,-3.936,0.0395,115.056,4
484,Hood Baby,Hood Baby,KBFR,2020-04-03,110062,54,0.0488,0.974,0.472,0.000157,0.116,-11.848,0.447,126.065,4
485,Oh My God,These Two Windows,Alec Benjamin,2020-05-29,187727,64,0.652,0.696,0.565,2.12e-06,0.121,-7.241,0.0598,156.109,4
486,Eu Te Quero,Eu Te Quero,Zeeba,2020-05-08,203333,51,0.074,0.857,0.55,0.000738,0.0721,-5.428,0.0641,90.005,4
487,Depois da quarentena,Depois da quarentena,POCAH,2020-06-18,154285,31,0.179,0.719,0.95,9.34e-06,0.343,-2.217,0.0736,167.92,4
488,Te gusta,Te gusta,MC Kevinho,2020-05-15,151579,50,0.169,0.724,0.714,0.0,0.0874,-4.443,0.0892,129.886,4
489,Vai Ter Que Aguentar,Vou Além,Mc Don Juan,2020-05-08,172075,57,0.331,0.691,0.558,0.0,0.0545,-6.64,0.0455,125.87,4
490,Pãramramram,Pãramramram,Theuz,2019-07-12,131555,34,0.235,0.603,0.741,1.05e-06,0.0344,0.09,0.251,90.035,5
491,Love Letter,Love Letter,payton,2020-04-17,171968,0,0.0997,0.655,0.747,0.0,0.439,-9.467,0.138,90.021,4
492,My Heart Went Oops,My Heart Went Oops,Tiagz,2020-01-29,128925,0,0.12,0.962,0.412,0.0,0.0904,-11.288,0.608,121.037,4
493,Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix,Slow Down (feat. Jorja Smith) [Vintage Culture & Slow Motion Remix],Maverick Sabre,2020-04-03,181306,72,0.098,0.881,0.661,0.0187,0.101,-7.681,0.0343,124.023,4
494,Control,Control,Zoe Wees,2020-03-13,230880,76,0.643,0.599,0.465,1.57e-06,0.149,-4.95,0.0314,113.82,4
495,Daisies,Daisies,Katy Perry,2020-05-15,173123,64,0.0837,0.639,0.546,0.0,0.122,-5.382,0.0407,122.179,4
496,Walk Em Down (feat. Roddy Ricch),Walk Em Down (feat. Roddy Ricch),NLE Choppa,2020-03-19,173288,70,0.268,0.867,0.744,0.0,0.0713,-5.171,0.227,84.005,4
497,Dancin (feat. Luvli) - Krono Remix,Dancin (feat. Luvli) [Krono Remix],Aaron Smith,2014-11-07,198053,79,0.101,0.72,0.741,1.41e-05,0.289,-6.529,0.0287,119.896,4
498,Deep End Freestyle,Deep End Freestyle,Sleepy Hallow,2020-04-03,115200,64,0.703,0.876,0.479,0.0,0.102,-6.687,0.44,133.858,4
499,Rover (feat. DTG),Rover (feat. DTG),S1mba,2020-03-04,167916,75,0.496,0.613,0.624,0.0,0.283,-6.66,0.206,62.948,5
500,CITY OF ANGELS - LLusion Funk Remix,DROPPED OUTTA COLLEGE,24kGoldn,2019-11-22,124000,55,0.233,0.856,0.616,0.0,0.219,-5.871,0.571,120.165,4
501,Kolors,Soulection White Label - Monte Booker,monte booker,2016-06-29,177855,57,0.263,0.718,0.403,1.56e-06,0.228,-11.064,0.205,129.582,4
502,Já Te Amei (170 Bpm) - Remix,Já Te Amei (170 Bpm) [Remix],MC Senna,2020-01-31,133028,42,0.214,0.854,0.93,0.0,0.336,-2.022,0.245,87.554,4
503,SEM LIMITES,SEM LIMITES,WC no Beat,2020-05-14,171370,45,0.416,0.721,0.599,0.0,0.14,-5.41,0.299,141.946,4
504,Hipnotizou,Melim,Melim,2018-06-08,158624,58,0.569,0.557,0.632,0.0,0.386,-7.357,0.0772,78.436,4
505,This Is America,This Is America,Childish Gambino,2018-05-06,225773,70,0.117,0.854,0.463,0.0,0.354,-6.159,0.137,120.024,4
506,IDK You Yet,IDK You Yet,Alexander 23,2020-04-09,184638,1,0.884,0.629,0.306,0.0776,0.124,-11.735,0.0424,76.994,1
507,Be Kind (with Halsey),Be Kind (with Halsey),Marshmello,2020-05-01,172761,77,0.00776,0.63,0.633,0.0,0.0541,-7.088,0.0457,93.995,4
508,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,181733,81,0.247,0.746,0.69,0.0,0.101,-7.956,0.164,89.977,4
509,Eu Feat. Você,Eu Feat. Você,Melim,2020-05-15,185124,60,0.593,0.654,0.453,0.0,0.109,-9.522,0.046,100.053,4
510,Na Raba Toma Tapão,Na Raba Toma Tapão,Niack,2020-04-05,165230,0,0.666,0.962,0.787,5.74e-05,0.176,1.509,0.0554,130.003,4
511,Tudo Aconteceu,Tudo Aconteceu,MC Du Black,2020-02-07,155124,60,0.86,0.579,0.346,2.02e-06,0.0945,-13.975,0.368,102.374,5
512,WHATS POPPIN,WHATS POPPIN,Jack Harlow,2020-01-21,139741,0,0.017,0.923,0.604,0.0,0.272,-6.671,0.245,145.062,4
513,X (with KAROL G),XV,Jonas Brothers,2020-05-15,185277,65,0.0485,0.715,0.827,3.61e-05,0.321,-5.09,0.0617,117.977,4
514,THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,165977,76,0.233,0.716,0.537,0.0,0.157,-7.648,0.0514,129.979,4
515,Play Date,Cry Baby (Deluxe Edition),Melanie Martinez,2015-08-14,179867,79,0.612,0.68,0.729,0.0,0.224,-5.077,0.0475,123.97,4
516,You should be sad,You should be sad,Halsey,2020-01-10,205473,0,0.143,0.591,0.585,0.0,0.109,-6.35,0.0277,110.94,4
517,Yo Perreo Sola,YHLQMDLG,Bad Bunny,2020-02-29,172127,78,0.021,0.86,0.758,6.54e-05,0.344,-5.16,0.0695,97.014,4
518,Selfish,Selfish,Madison Beer,2020-02-14,223270,65,0.627,0.375,0.461,0.0,0.386,-6.202,0.0279,75.217,4
519,Level of Concern,Level of Concern,Twenty One Pilots,2020-04-09,220051,68,0.32,0.754,0.583,0.00015,0.144,-7.34,0.0432,122.012,4
520,Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,2020-05-08,228482,82,0.223,0.597,0.45,0.0,0.382,-6.658,0.0418,178.765,3
521,Lose Somebody,Lose Somebody,Kygo,2020-05-15,199549,69,0.344,0.58,0.586,0.0,0.0755,-6.883,0.0357,147.988,4
